"label","name","super_class","is_extendable","sys_updated_on"
"Chat Launcher Button","sys_sg_button_chat_launcher","Function","false","2024-12-02 17:30:44"
"Function instance","sys_sg_button_instance","Application File","false","2024-12-02 17:30:46"
"Function Instance carried param mapping","sys_sg_button_instance_carried_param_map","Application File","false","2024-12-02 17:30:45"
"Calendar screen","sys_sg_calendar_screen","Screen","false","2024-12-02 17:30:36"
"Card sizes","sys_sg_card_size","Application File","false","2024-12-02 17:30:26"
"Analytics preview","sys_sg_chart","Application File","false","2024-12-02 17:30:25"
"Chart screen","sys_sg_chart_screen","Screen","false","2024-12-02 17:30:46"
"Analytics section","sys_sg_chart_section","UI section","false","2024-12-02 17:30:24"
"Legacy Mobile app theme","sys_sg_client_theme","Application File","false","2024-12-02 17:30:46"
"Content Section","sys_sg_content_section","UI section","false","2024-12-02 17:30:25"
"Content section M2M stream container","sys_sg_content_section_m2m_item_stream_container","Application File","false","2024-12-02 17:30:48"
"Custom map config","sys_sg_custom_map_config","Application File","false","2024-12-02 17:30:38"
"Custom Map Provider","sys_sg_custom_map_provider","Application File","false","2024-12-02 17:30:38"
